ISO	variable	value	realValue	typeIneq	desc	norm1	norm2
ISL	CG_VOTO	79.18		average			
ISR	CG_VOTO	72.34		average			
ITA	CG_VOTO	75.19		average			
JPN	CG_VOTO	52.66		average			
KOR	CG_VOTO	77.2		average			
LUX	CG_VOTO	91.15		average			
LVA	CG_VOTO	58.8		average			
MEX	CG_VOTO	63.14		average			
NLD	CG_VOTO	81.93		average			
NOR	CG_VOTO	78.23		average			
NZL	CG_VOTO	76.95		average			
OECD	CG_VOTO	68.574		average			
POL	CG_VOTO	55.34		average			
PRT	CG_VOTO	55.84		average			
SVK	CG_VOTO	59.82		average			
SVN	CG_VOTO	51.73		average			
SWE	CG_VOTO	85.81		average			
TUR	CG_VOTO	85.18		average			
USA	CG_VOTO	68.29		average			
AUS	EQ_AIRP	5.24		average			
AUT	EQ_AIRP	16.284		average			
BEL	EQ_AIRP	14.725		average			
CAN	EQ_AIRP	7.31		average			
CHE	EQ_AIRP	14.524		average			
CHL	EQ_AIRP	15.952		average			
CZE	EQ_AIRP	19.525		average			
DEU	EQ_AIRP	14.029		average			
DNK	EQ_AIRP	9.31		average			
ESP	EQ_AIRP	11.467		average			
EST	EQ_AIRP	7.858		average			
FIN	EQ_AIRP	6.248		average			
FRA	EQ_AIRP	13.449		average			
GBR	EQ_AIRP	11.32		average			
GRC	EQ_AIRP	17.506		average			
HUN	EQ_AIRP	19.371		average			
IRL	EQ_AIRP	7.148		average			
ISL	EQ_AIRP	3		average			
ISR	EQ_AIRP	21.092		average			
ITA	EQ_AIRP	18.329		average			
JPN	EQ_AIRP	13.799		average			
KOR	EQ_AIRP	27.915		average			
LUX	EQ_AIRP	12.221		average			
LVA	EQ_AIRP	10.619		average			
MEX	EQ_AIRP	15.555		average			
NLD	EQ_AIRP	14.03		average			
NOR	EQ_AIRP	4.602		average			
NZL	EQ_AIRP	4.871		average			
OECD	EQ_AIRP	13.878		average			
POL	EQ_AIRP	22.142		average			
PRT	EQ_AIRP	10.113		average			
SVK	EQ_AIRP	20.587		average			
SVN	EQ_AIRP	15.972		average			
SWE	EQ_AIRP	6.212		average			
TUR	EQ_AIRP	19.978		average			
USA	EQ_AIRP	10.086		average			
AUS	EQ_SATW	92.201		average			
AUT	EQ_SATW	93.001		average			
BEL	EQ_SATW	84.36		average			
CAN	EQ_SATW	91		average			
CHE	EQ_SATW	95.866		average			
CHL	EQ_SATW	68.807		average			
CZE	EQ_SATW	86.864		average			
DEU	EQ_SATW	93.368		average			
DNK	EQ_SATW	94.292		average			
ESP	EQ_SATW	72.677		average			
EST	EQ_SATW	81.813		average			
FIN	EQ_SATW	94.02		average			
FRA	EQ_SATW	81.683		average			
GBR	EQ_SATW	85.316		average			
GRC	EQ_SATW	69.329		average			
HUN	EQ_SATW	76.164		average			
IRL	EQ_SATW	82.245		average			
ISL	EQ_SATW	98.623		average			
ISR	EQ_SATW	66.514		average			
ITA	EQ_SATW	70.94		average			
JPN	EQ_SATW	86.122		average			
KOR	EQ_SATW	77.815		average			
LUX	EQ_SATW	84.665		average			
LVA	EQ_SATW	76.626		average			
MEX	EQ_SATW	66.986		average			
NLD	EQ_SATW	92.972		average			
NOR	EQ_SATW	96.413		average			
NZL	EQ_SATW	89.836		average			
OECD	EQ_SATW	80.791		average			
POL	EQ_SATW	79.966		average			
PRT	EQ_SATW	86.929		average			
SVK	EQ_SATW	82.479		average			
SVN	EQ_SATW	89.415		average			
SWE	EQ_SATW	94.974		average			
TUR	EQ_SATW	62.99		average			
USA	EQ_SATW	84.119		average			
AUS	ES_ADCO	274.017		average			
AUT	ES_ADCO	272.248		average			
BEL	ES_ADCO	277.933		average			
CAN	ES_ADCO	269.474		average			
CHE	ES_ADCO			average			
CHL	ES_ADCO	213.103		average			
CZE	ES_ADCO	274.873		average			
DEU	ES_ADCO	270.767		average			
DNK	ES_ADCO	274.533		average			
ESP	ES_ADCO	248.806		average			
EST	ES_ADCO	274.502		average			
FIN	ES_ADCO	284.886		average			
FRA	ES_ADCO	258.166		average			
GBR	ES_ADCO	265.567		average			
GRC	ES_ADCO	252.875		average			
HUN	ES_ADCO			average			
IRL	ES_ADCO	261.068		average			
ISL	ES_ADCO			average			
ISR	ES_ADCO	253.144		average			
ITA	ES_ADCO	248.806		average			
JPN	ES_ADCO	292.206		average			
KOR	ES_ADCO	267.974		average			
LUX	ES_ADCO			average			
LVA	ES_ADCO			average			
MEX	ES_ADCO			average			
NLD	ES_ADCO	282.176		average			
NOR	ES_ADCO	278.362		average			
NZL	ES_ADCO	275.899		average			
OECD	ES_ADCO	262.909		average			
POL	ES_ADCO	263.336		average			
PRT	ES_ADCO			average			
SVK	ES_ADCO	274.827		average			
SVN	ES_ADCO	256.973		average			
SWE	ES_ADCO	279.142		average			
TUR	ES_ADCO	222.987		average			
USA	ES_ADCO	261.321		average			
AUS	ES_EDUA	79.933		average			
AUT	ES_EDUA	84.528		average			
BEL	ES_EDUA	75.094		average			
CAN	ES_EDUA	90.609		average			
CHE	ES_EDUA	87.436		average			
CHL	ES_EDUA	64.866		average			
CZE	ES_EDUA	93.427		average			
DEU	ES_EDUA	86.476		average			
DNK	ES_EDUA	80.746		average			
ESP	ES_EDUA	58.274		average			
EST	ES_EDUA	88.896		average			
FIN	ES_EDUA	87.908		average			
FRA	ES_EDUA	78.108		average			
GBR	ES_EDUA	80.743		average			
GRC	ES_EDUA	71.65		average			
HUN	ES_EDUA	83.362		average			
IRL	ES_EDUA	79.817		average			
ISL	ES_EDUA	77.998		average			
ISR	ES_EDUA	86.769		average			
ITA	ES_EDUA	60.143		average			
JPN	ES_EDUA			average			
KOR	ES_EDUA	86.878		average			
LUX	ES_EDUA	78.819		average			
LVA	ES_EDUA	88.682		average			
MEX	ES_EDUA	36.635		average			
NLD	ES_EDUA	77.067		average			
NOR	ES_EDUA	82.239		average			
NZL	ES_EDUA	76.577		average			
OECD	ES_EDUA	74.453		average			
POL	ES_EDUA	91.321		average			
PRT	ES_EDUA	46.909		average			
SVK	ES_EDUA	91.749		average			
SVN	ES_EDUA	87.345		average			
SWE	ES_EDUA	82.728		average			
TUR	ES_EDUA	38.513		average			
USA	ES_EDUA	90.147		average			
AUS	ES_STCS	502.264		average			
AUT	ES_STCS	492.215		average			
BEL	ES_STCS	502.503		average			
CAN	ES_STCS	523.34		average			
CHE	ES_STCS	506.318		average			
CHL	ES_STCS	442.733		average			
CZE	ES_STCS	490.802		average			
DEU	ES_STCS	508.072		average			
DNK	ES_STCS	504.28		average			
ESP	ES_STCS	491.402		average			
EST	ES_STCS	524.289		average			
FIN	ES_STCS	522.721		average			
FRA	ES_STCS	495.735		average			
GBR	ES_STCS	499.891		average			
GRC	ES_STCS	458.499		average			
HUN	ES_STCS	474.367		average			
IRL	ES_STCS	509.037		average			
ISL	ES_STCS	480.93		average			
ISR	ES_STCS	471.728		average			
ITA	ES_STCS	485.011		average			
JPN	ES_STCS	528.931		average			
KOR	ES_STCS	519.118		average			
LUX	ES_STCS	483.339		average			
LVA	ES_STCS	486.763		average			
MEX	ES_STCS	415.67		average			
NLD	ES_STCS	507.929		average			
NOR	ES_STCS	504.467		average			
NZL	ES_STCS	505.932		average			
OECD	ES_STCS	486.067		average			
POL	ES_STCS	503.867		average			
PRT	ES_STCS	496.952		average			
SVK	ES_STCS	462.84		average			
SVN	ES_STCS	509.333		average			
SWE	ES_STCS	495.832		average			
TUR	ES_STCS	424.76		average			
USA	ES_STCS	487.602		average			
AUS	HO_EXP	20.263		average			
AUT	HO_EXP	21.341		average			
BEL	HO_EXP	20.534		average			
CAN	HO_EXP	22.313		average			
CHE	HO_EXP	21.463		average			
CHL	HO_EXP	18.492		average			
CZE	HO_EXP	23.957		average			
DEU	HO_EXP	20.415		average			
DNK	HO_EXP	23.518		average			
ESP	HO_EXP	21.753		average			
EST	HO_EXP	17.739		average			
FIN	HO_EXP	22.739		average			
FRA	HO_EXP	20.947		average			
GBR	HO_EXP	23.747		average			
GRC	HO_EXP	23.739		average			
HUN	HO_EXP	18.437		average			
IRL	HO_EXP	20.769		average			
ISL	HO_EXP	24.415		average			
ISR	HO_EXP			average			
ITA	HO_EXP	23.475		average			
JPN	HO_EXP	22.301		average			
KOR	HO_EXP	15.21		average			
LUX	HO_EXP			average			
LVA	HO_EXP	23.202		average			
MEX	HO_EXP	20.696		average			
NLD	HO_EXP	19.501		average			
NOR	HO_EXP	17.291		average			
NZL	HO_EXP	26.241		average			
OECD	HO_EXP	19.029		average			
POL	HO_EXP	22.581		average			
PRT	HO_EXP	21.082		average			
SVK	HO_EXP	23.65		average			
SVN	HO_EXP	18.289		average			
SWE	HO_EXP	19.639		average			
TUR	HO_EXP	19.614		average			
USA	HO_EXP	18.448		average			
AUS	HO_NUMR	2.332		average			
AUT	HO_NUMR	1.6		average			
BEL	HO_NUMR	2.2		average			
CAN	HO_NUMR	2.52		average			
CHE	HO_NUMR	1.9		average			
CHL	HO_NUMR	1.888		average			
CZE	HO_NUMR	1.4		average			
DEU	HO_NUMR	1.8		average			
DNK	HO_NUMR	1.9		average			
ESP	HO_NUMR	1.9		average			
EST	HO_NUMR	1.6		average			
FIN	HO_NUMR	1.9		average			
FRA	HO_NUMR	1.8		average			
GBR	HO_NUMR	2		average			
GRC	HO_NUMR	1.2		average			
HUN	HO_NUMR	1.2		average			
IRL	HO_NUMR	2.1		average			
ISL	HO_NUMR	1.6		average			
ISR	HO_NUMR	1.151		average			
ITA	HO_NUMR	1.4		average			
JPN	HO_NUMR	1.887		average			
KOR	HO_NUMR	1.429		average			
LUX	HO_NUMR	2		average			
LVA	HO_NUMR	1.2		average			
MEX	HO_NUMR	1.025		average			
NLD	HO_NUMR	1.9		average			
NOR	HO_NUMR	2.1		average			
NZL	HO_NUMR	2.36		average			
OECD	HO_NUMR	1.801		average			
POL	HO_NUMR	1.1		average			
PRT	HO_NUMR	1.7		average			
SVK	HO_NUMR	1.1		average			
SVN	HO_NUMR	1.5		average			
SWE	HO_NUMR	1.8		average			
TUR	HO_NUMR	1		average			
USA	HO_NUMR	2.361		average			
AUS	HS_LEB	82.5		average			
AUT	HS_LEB	81.3		average			
BEL	HS_LEB	81.1		average			
CAN	HS_LEB	81.5		average			
CHE	HS_LEB	83		average			
CHL	HS_LEB	79.1		average			
CZE	HS_LEB	78.7		average			
DEU	HS_LEB	80.7		average			
DNK	HS_LEB	80.8		average			
ESP	HS_LEB	83		average			
EST	HS_LEB	77.7		average			
FIN	HS_LEB	81.6		average			
FRA	HS_LEB	82.4		average			
GBR	HS_LEB	81		average			
GRC	HS_LEB	81.1		average			
HUN	HS_LEB	75.7		average			
IRL	HS_LEB	81.5		average			
ISL	HS_LEB	82.5		average			
ISR	HS_LEB	82.1		average			
ITA	HS_LEB	82.6		average			
JPN	HS_LEB	83.9		average			
KOR	HS_LEB	82.1		average			
LUX	HS_LEB	82.4		average			
LVA	HS_LEB	74.6		average			
MEX	HS_LEB	75		average			
NLD	HS_LEB	81.6		average			
NOR	HS_LEB	82.4		average			
NZL	HS_LEB	81.7		average			
OECD	HS_LEB	80.072		average			
POL	HS_LEB	77.6		average			
PRT	HS_LEB	81.2		average			
SVK	HS_LEB	76.7		average			
SVN	HS_LEB	80.9		average			
SWE	HS_LEB	82.3		average			
TUR	HS_LEB	78		average			
USA	HS_LEB	78.8		average			
AUS	HS_SFRH	85.2		average			
AUT	HS_SFRH	69.8		average			
BEL	HS_SFRH	74.6		average			
CAN	HS_SFRH	88.1		average			
CHE	HS_SFRH	79.6		average			
CHL	HS_SFRH	57.4		average			
CZE	HS_SFRH	61.2		average			
DEU	HS_SFRH	64.5		average			
DNK	HS_SFRH	71.6		average			
ESP	HS_SFRH	72.4		average			
EST	HS_SFRH	51.4		average			
FIN	HS_SFRH	69.8		average			
FRA	HS_SFRH	67.8		average			
GBR	HS_SFRH	69.8		average			
GRC	HS_SFRH	74.4		average			
HUN	HS_SFRH	56.3		average			
IRL	HS_SFRH	82.3		average			
ISL	HS_SFRH	76.3		average			
ISR	HS_SFRH	83.9		average			
ITA	HS_SFRH	65.6		average			
JPN	HS_SFRH	35.4		average			
KOR	HS_SFRH	32.5		average			
LUX	HS_SFRH	70.4		average			
LVA	HS_SFRH	46.2		average			
MEX	HS_SFRH	65.5		average			
NLD	HS_SFRH	76.2		average			
NOR	HS_SFRH	78.3		average			
NZL	HS_SFRH	87.8		average			
OECD	HS_SFRH	68.73		average			
POL	HS_SFRH	57.8		average			
PRT	HS_SFRH	46.4		average			
SVK	HS_SFRH	65.9		average			
SVN	HS_SFRH	64.8		average			
SWE	HS_SFRH	79.7		average			
TUR	HS_SFRH	66.4		average			
USA	HS_SFRH	88.1		average			
AUS	IW_HADI	33417.304		average			
AUT	IW_HADI	32544.265		average			
BEL	IW_HADI	29967.872		average			
CAN	IW_HADI	29849.951		average			
CHE	IW_HADI	36377.751		average			
CHL	IW_HADI			average			
CZE	IW_HADI	21102.837		average			
DEU	IW_HADI	33652.198		average			
DNK	IW_HADI	28949.893		average			
ESP	IW_HADI	23128.908		average			
EST	IW_HADI	18665.121		average			
FIN	IW_HADI	29374.444		average			
FRA	IW_HADI	31137.16		average			
GBR	IW_HADI	28407.65		average			
GRC	IW_HADI	17001.806		average			
HUN	IW_HADI	16821.22		average			
IRL	IW_HADI	25439.042		average			
ISL	IW_HADI			average			
ISR	IW_HADI			average			
ITA	IW_HADI	26063.447		average			
JPN	IW_HADI	28641.081		average			
KOR	IW_HADI	21723.09		average			
LUX	IW_HADI			average			
LVA	IW_HADI	15268.829		average			
MEX	IW_HADI	13890.854		average			
NLD	IW_HADI	28782.994		average			
NOR	IW_HADI	35739.132		average			
NZL	IW_HADI			average			
OECD	IW_HADI	30620.305		average			
POL	IW_HADI	18906.087		average			
PRT	IW_HADI	20519.086		average			
SVK	IW_HADI	20265.129		average			
SVN	IW_HADI	20504.857		average			
SWE	IW_HADI	30553.496		average			
TUR	IW_HADI			average			
USA	IW_HADI	44049.327		average			
AUS	IW_HNFW	422288.36		average			
AUT	IW_HNFW	303811.309		average			
BEL	IW_HNFW	382124.498		average			
CAN	IW_HNFW	363972.203		average			
CHE	IW_HNFW			average			
CHL	IW_HNFW	103994.861		average			
CZE	IW_HNFW			average			
DEU	IW_HNFW	260157.557		average			
DNK	IW_HNFW	119750.153		average			
ESP	IW_HNFW	345582.932		average			
EST	IW_HNFW	162151.228		average			
FIN	IW_HNFW	198761		average			
FRA	IW_HNFW	281428.801		average			
GBR	IW_HNFW	336492.682		average			
GRC	IW_HNFW	147933.875		average			
HUN	IW_HNFW	352.622		average			
IRL	IW_HNFW	223894.004		average			
ISL	IW_HNFW			average			
ISR	IW_HNFW			average			
ITA	IW_HNFW	273820.121		average			
JPN	IW_HNFW			average			
KOR	IW_HNFW	273867.052		average			
LUX	IW_HNFW	789260.201		average			
LVA	IW_HNFW	70157.98		average			
MEX	IW_HNFW			average			
NLD	IW_HNFW	157772.278		average			
NOR	IW_HNFW	223321.006		average			
NZL	IW_HNFW	390455.288		average			
OECD	IW_HNFW	331131.953		average			
POL	IW_HNFW	51485.234		average			
PRT	IW_HNFW	234586.973		average			
SVK	IW_HNFW	120428.347		average			
SVN	IW_HNFW	209365.964		average			
SWE	IW_HNFW			average			
TUR	IW_HNFW			average			
USA	IW_HNFW	452900		average			
AUS	JE_LTUR	5.88		average			
AUT	JE_LTUR	6.111		average			
BEL	JE_LTUR	7.888		average			
CAN	JE_LTUR	7.1		average			
CHE	JE_LTUR	5.086		average			
CHL	JE_LTUR	6.797		average			
CZE	JE_LTUR	4.027		average			
DEU	JE_LTUR	4.196		average			
DNK	JE_LTUR	6.345		average			
ESP	JE_LTUR	19.746		average			
EST	JE_LTUR	6.939		average			
FIN	JE_LTUR	8.946		average			
FRA	JE_LTUR	9.841		average			
GBR	JE_LTUR	4.979		average			
GRC	JE_LTUR	23.704		average			
HUN	JE_LTUR	5.148		average			
IRL	JE_LTUR	8.749		average			
ISL	JE_LTUR	3.124		average			
ISR	JE_LTUR	4.891		average			
ITA	JE_LTUR	11.892		average			
JPN	JE_LTUR	3.274		average			
KOR	JE_LTUR	3.839		average			
LUX	JE_LTUR	6.307		average			
LVA	JE_LTUR	9.901		average			
MEX	JE_LTUR	4.036		average			
NLD	JE_LTUR	6.057		average			
NOR	JE_LTUR	4.887		average			
NZL	JE_LTUR	5.349		average			
OECD	JE_LTUR	7.536		average			
POL	JE_LTUR	6.244		average			
PRT	JE_LTUR	11.504		average			
SVK	JE_LTUR	9.699		average			
SVN	JE_LTUR	8.102		average			
SWE	JE_LTUR	7.106		average			
TUR	JE_LTUR	11.115		average			
USA	JE_LTUR	4.934		average			
AUS	JE_EMPL	72.414		average			
AUT	JE_EMPL	71.545		average			
BEL	JE_EMPL	62.289		average			
CAN	JE_EMPL	72.566		average			
CHE	JE_EMPL	79.607		average			
CHL	JE_EMPL	62.239		average			
CZE	JE_EMPL	71.98		average			
DEU	JE_EMPL	74.703		average			
DNK	JE_EMPL	74.88		average			
ESP	JE_EMPL	60.479		average			
EST	JE_EMPL	71.999		average			
FIN	JE_EMPL	69.236		average			
FRA	JE_EMPL	64.641		average			
GBR	JE_EMPL	74.27		average			
GRC	JE_EMPL	52.046		average			
HUN	JE_EMPL	66.524		average			
IRL	JE_EMPL	64.658		average			
ISL	JE_EMPL	86.267		average			
ISR	JE_EMPL	68.593		average			
ITA	JE_EMPL	57.218		average			
JPN	JE_EMPL	74.342		average			
KOR	JE_EMPL	66.067		average			
LUX	JE_EMPL	65.553		average			
LVA	JE_EMPL	68.745		average			
MEX	JE_EMPL	61.048		average			
NLD	JE_EMPL	74.843		average			
NOR	JE_EMPL	74.359		average			
NZL	JE_EMPL	75.583		average			
OECD	JE_EMPL	67.091		average			
POL	JE_EMPL	64.512		average			
PRT	JE_EMPL	65.246		average			
SVK	JE_EMPL	64.87		average			
SVN	JE_EMPL	65.828		average			
SWE	JE_EMPL	76.218		average			
TUR	JE_EMPL	50.646		average			
USA	JE_EMPL	69.353		average			
AUS	JE_LP	15.72		average			
AUT	JE_LP	15.861		average			
BEL	JE_LP	3.4		average			
CAN	JE_LP	22.178		average			
CHE	JE_LP	10.147		average			
CHL	JE_LP	11.925		average			
CZE	JE_LP	20.29		average			
DEU	JE_LP	18.371		average			
DNK	JE_LP	8.237		average			
ESP	JE_LP	14.59		average			
EST	JE_LP	22.1		average			
FIN	JE_LP	7.768		average			
FRA	JE_LP	9.087		average			
GBR	JE_LP	19.281		average			
GRC	JE_LP	17.873		average			
HUN	JE_LP	19.78		average			
IRL	JE_LP	24		average			
ISL	JE_LP	15.716		average			
ISR	JE_LP	22.149		average			
ITA	JE_LP	7.628		average			
JPN	JE_LP	13.464		average			
KOR	JE_LP	23.5		average			
LUX	JE_LP	12.157		average			
LVA	JE_LP	26.037		average			
MEX	JE_LP	17.253		average			
NLD	JE_LP	14.5		average			
NOR	JE_LP	7.119		average			
NZL	JE_LP	13.865		average			
OECD	JE_LP	15.529		average			
POL	JE_LP	22.6		average			
PRT	JE_LP	20.332		average			
SVK	JE_LP	19		average			
SVN	JE_LP	19.231		average			
SWE	JE_LP	2.662		average			
TUR	JE_LP	0.776		average			
USA	JE_LP	24.908		average			
AUS	JE_PE	52063.092		average			
AUT	JE_PE	48295.09		average			
BEL	JE_PE	49586.974		average			
CAN	JE_PE	48403.068		average			
CHE	JE_PE	60123.778		average			
CHL	JE_PE	28434.438		average			
CZE	JE_PE	23721.771		average			
DEU	JE_PE	46389.054		average			
DNK	JE_PE	52580.011		average			
ESP	JE_PE	37332.528		average			
EST	JE_PE	23620.63		average			
FIN	JE_PE	42126.79		average			
FRA	JE_PE	42992.433		average			
GBR	JE_PE	42835.118		average			
GRC	JE_PE	25123.512		average			
HUN	JE_PE	21711.174		average			
IRL	JE_PE	51681.122		average			
ISL	JE_PE	55983.703		average			
ISR	JE_PE	34023.488		average			
ITA	JE_PE	35396.851		average			
JPN	JE_PE	39113.23		average			
KOR	JE_PE	32399.271		average			
LUX	JE_PE	62636.222		average			
LVA	JE_PE	22388.726		average			
MEX	JE_PE	15311.155		average			
NLD	JE_PE	52832.971		average			
NOR	JE_PE	53642.582		average			
NZL	JE_PE	39396.731		average			
OECD	JE_PE	44290.427		average			
POL	JE_PE	25920.811		average			
PRT	JE_PE	24529.308		average			
SVK	JE_PE	23507.966		average			
SVN	JE_PE	34965.187		average			
SWE	JE_PE	42816.168		average			
TUR	JE_PE			average			
USA	JE_PE	60154.277		average			
AUS	PS_HOMI	1		average			
AUT	PS_HOMI	0.4		average			
BEL	PS_HOMI	1		average			
CAN	PS_HOMI	1.4		average			
CHE	PS_HOMI	0.5		average			
CHL	PS_HOMI	4.5		average			
CZE	PS_HOMI	0.8		average			
DEU	PS_HOMI	0.4		average			
DNK	PS_HOMI	0.7		average			
ESP	PS_HOMI	0.6		average			
EST	PS_HOMI	3.1		average			
FIN	PS_HOMI	1.4		average			
FRA	PS_HOMI	0.6		average			
GBR	PS_HOMI	0.2		average			
GRC	PS_HOMI	1		average			
HUN	PS_HOMI	1.2		average			
IRL	PS_HOMI	0.6		average			
ISL	PS_HOMI	0.9		average			
ISR	PS_HOMI	1.7		average			
ITA	PS_HOMI	0.8		average			
JPN	PS_HOMI	0.3		average			
KOR	PS_HOMI	1.1		average			
LUX	PS_HOMI	0.6		average			
LVA	PS_HOMI	6.6		average			
MEX	PS_HOMI	17.9		average			
NLD	PS_HOMI	0.6		average			
NOR	PS_HOMI	0.6		average			
NZL	PS_HOMI	1.3		average			
OECD	PS_HOMI	3.57		average			
POL	PS_HOMI	0.8		average			
PRT	PS_HOMI	1		average			
SVK	PS_HOMI	0.8		average			
SVN	PS_HOMI	0.6		average			
SWE	PS_HOMI	1		average			
TUR	PS_HOMI	1.7		average			
USA	PS_HOMI	4.9		average			
AUS	PS_SFRV	63.647		average			
AUT	PS_SFRV	80.74		average			
BEL	PS_SFRV	70.743		average			
CAN	PS_SFRV	80.937		average			
CHE	PS_SFRV	84.015		average			
CHL	PS_SFRV	51.126		average			
CZE	PS_SFRV	68.278		average			
DEU	PS_SFRV	75.854		average			
DNK	PS_SFRV	82.99		average			
ESP	PS_SFRV	83.086		average			
EST	PS_SFRV	67.183		average			
FIN	PS_SFRV	82.903		average			
FRA	PS_SFRV	69.553		average			
GBR	PS_SFRV	77.359		average			
GRC	PS_SFRV	61.781		average			
HUN	PS_SFRV	50.75		average			
IRL	PS_SFRV	75.539		average			
ISL	PS_SFRV	87.022		average			
ISR	PS_SFRV	70.188		average			
ITA	PS_SFRV	58.286		average			
JPN	PS_SFRV	70.563		average			
KOR	PS_SFRV	63.931		average			
LUX	PS_SFRV	72.013		average			
LVA	PS_SFRV	60.742		average			
MEX	PS_SFRV	45.851		average			
NLD	PS_SFRV	81.179		average			
NOR	PS_SFRV	87.65		average			
NZL	PS_SFRV	64.818		average			
OECD	PS_SFRV	68.623		average			
POL	PS_SFRV	66.283		average			
PRT	PS_SFRV	72.051		average			
SVK	PS_SFRV	60.05		average			
SVN	PS_SFRV	84.7		average			
SWE	PS_SFRV	75.926		average			
TUR	PS_SFRV	60.593		average			
USA	PS_SFRV	74.075		average			
AUS	SC_SNTWS	93.563		average			
AUT	SC_SNTWS	91.515		average			
BEL	SC_SNTWS	91.745		average			
CAN	SC_SNTWS	92.57		average			
CHE	SC_SNTWS	93.995		average			
CHL	SC_SNTWS	83.9		average			
CZE	SC_SNTWS	88.957		average			
DEU	SC_SNTWS	91.969		average			
DNK	SC_SNTWS	95.279		average			
ESP	SC_SNTWS	94.783		average			
EST	SC_SNTWS	90.477		average			
FIN	SC_SNTWS	94.627		average			
FRA	SC_SNTWS	88.378		average			
GBR	SC_SNTWS	93.223		average			
GRC	SC_SNTWS	82.26		average			
HUN	SC_SNTWS	84.202		average			
IRL	SC_SNTWS	95.749		average			
ISL	SC_SNTWS	98.261		average			
ISR	SC_SNTWS	86.554		average			
ITA	SC_SNTWS	90.818		average			
JPN	SC_SNTWS	89.659		average			
KOR	SC_SNTWS	75.935		average			
LUX	SC_SNTWS	91.632		average			
LVA	SC_SNTWS	85.849		average			
MEX	SC_SNTWS	80.074		average			
NLD	SC_SNTWS	90.069		average			
NOR	SC_SNTWS	94.119		average			
NZL	SC_SNTWS	95.396		average			
OECD	SC_SNTWS	88.569		average			
POL	SC_SNTWS	88.703		average			
PRT	SC_SNTWS	86.532		average			
SVK	SC_SNTWS	91.48		average			
SVN	SC_SNTWS	90.518		average			
SWE	SC_SNTWS	91.844		average			
TUR	SC_SNTWS	85.638		average			
USA	SC_SNTWS	89.931		average			
AUS	SW_LIFS	7.648		average			
AUT	SW_LIFS	8.011		average			
BEL	SW_LIFS	7.6		average			
CAN	SW_LIFS	8.12		average			
CHE	SW_LIFS	7.949		average			
CHL	SW_LIFS			average			
CZE	SW_LIFS	6.9		average			
DEU	SW_LIFS	7.3		average			
DNK	SW_LIFS	7.5		average			
ESP	SW_LIFS	6.9		average			
EST	SW_LIFS	6.5		average			
FIN	SW_LIFS	8		average			
FRA	SW_LIFS	7.207		average			
GBR	SW_LIFS	7.67		average			
GRC	SW_LIFS	6.2		average			
HUN	SW_LIFS	6.1		average			
IRL	SW_LIFS	7.4		average			
ISL	SW_LIFS	7.9		average			
ISR	SW_LIFS			average			
ITA	SW_LIFS	7		average			
JPN	SW_LIFS			average			
KOR	SW_LIFS	5.91		average			
LUX	SW_LIFS	7.5		average			
LVA	SW_LIFS	6.5		average			
MEX	SW_LIFS	8		average			
NLD	SW_LIFS	7.61		average			
NOR	SW_LIFS	7.9		average			
NZL	SW_LIFS	7.8		average			
OECD	SW_LIFS	7.328		average			
POL	SW_LIFS	7.36		average			
PRT	SW_LIFS	6.2		average			
SVK	SW_LIFS	7		average			
SVN	SW_LIFS	7.1		average			
