code,cat,Dimension,Indicator,Measure,Year
HS_SFRH_gender,h_gender_ineq,Health status,Self-reported health,Share of population rating their health status as fair, bad, or very bad (D),
WL_EWLH_gender,h_gender_ineq,Work-life balance,Employed persons working 50+ hours a week,Share of employed population usually working 50 hours or more per week (D),
WL_LEPC_gender,h_gender_ineq,Work-life balance,Time devoted to leisure and personal care,Average hours per day,
ES_EDUA_gender,h_gender_ineq,Education and skills,Educational attainment,Share of adults aged 25-64 with below upper secondary education (D),
ES_STCS_gender,h_gender_ineq,Education and skills,Student  skills, average across all fields,Average score across all fields,
ES_ADCO_gender,h_gender_ineq,Education and skills,Adult skills, average across fields,Average score across all fields,
SC_SNTWS_gender,h_gender_ineq,Social connections,Quality of support network,Share of population who report not havinng relatives or friends to count on (D),
SC_TSOC_gender,h_gender_ineq,Social connections,Time devoted to social activities,Average hours per day,
CG_SAYG_gender,h_gender_ineq,Civic engagement and governance,Political efficacy,Share of people who consider that they have no influence on what government does (D),
CG_VOTO_gender,h_gender_ineq,Civic engagement and governance,Voter turnout,Share of people who participate in national elections,
EQ_SATW_gender,h_gender_ineq,Environmental quality,Water quality,Share of people who are not satisfied with the quality of the water in their local area (D),
PS_HOMI_gender,h_gender_ineq,Personal security,Homicide rate,Number of deaths due to assualt (D),
PS_SFRV_gender,h_gender_ineq,Personal security,Feelings of security,Share of people who do not feel safe when walking alone at night (D),
SW_LIFS_gender,h_gender_ineq,Life Satisfaction,Life Satisfaction,Mean average values on a 0-10 scale,
IW_HADI_age_young,h_age_young_ineq,Income and wealth,Household disposable income,Average equivalised household disposable income,persons aged 0-24
IW_HNFW_age_young,h_age_young_ineq,Income and wealth,Household net worth,Average net wealth ,household heads aged 0-34
JE_PE_age_young,h_age_young_ineq,Jobs and earnings,Hourly earnings,Average gross earnings (D),persons aged 15-29
JE_EMPL_age_young,h_age_young_ineq,Jobs and earnings,Employment,Employment rate ,persons aged 15-24
JE_EMP_age_young,h_age_young_ineq,Jobs and earnings,Unemployment ,Unemployment rate (D),persons aged 15-24
HS_SFRH_age_young,h_age_young_ineq,Health status,Self-reported health,Share of population rating their health status as fair, bad, or very bad (D),persons aged 15-24
WL_EWLH_age_young,h_age_young_ineq,Work-life balance,Employed persons working 50+ hours a week,Share of employed population usually working 50 hours or more per week (D),persons aged 15-24
WL_LEPC_age_young,h_age_young_ineq,Work-life balance,Time devoted to leisure and personal care,Average hours per day,persons aged 15-24
ES_EDUA_age_young,h_age_young_ineq,Education and skills,Educational attainment,Share of adults aged 25-64 with below upper secondary education (D),persons aged 25-34
ES_ADCO_age_young,h_age_young_ineq,Education and skills,Adult skills, average across fields,Average score across all fields,persons aged16-24
SC_SNTWS_age_young,h_age_young_ineq,Social connections,Quality of support network,Share of population who report not having relatives or friends to count on (D),persons aged 15-29
SC_TSOC_age_young,h_age_young_ineq,Social connections,Time devoted to social activities,Average hours per day,persons aged 15-24
CG_SAYG_age_young,h_age_young_ineq,Civic engagement and governance,Political efficacy,Share of people who consider that they have no influence on what government does (D),persons aged 16-24
CG_VOTO_age_young,h_age_young_ineq,Civic engagement and governance,Voter turnout,Share of people who participates in national elections,persons aged 15-29
EQ_SATW_age_young,h_age_young_ineq,Environmental quality,Water quality,Share of people who are not satisfied with the quality of the water in their local area (D),persons aged 15-29
PS_SFRV_age_young,h_age_young_ineq,Personal security,Feelings of security,Share of people who do not feel safe when walking alone at night (D),persons aged 15-29
SW_LIFS_age_young,h_age_young_ineq,Life Satisfaction,Life Satisfaction,Mean average values on a 0-10 scale,persons aged 15-29
IW_HADI_age_old,h_age_old_ineq,Income and wealth,Household disposable income,Average equivalised household disposable income,persons aged 51+
IW_HNFW_age_old,h_age_old_ineq,Income and wealth,Household net worth,Average net wealth,household heads 55+
JE_PE_age_old,h_age_old_ineq,Jobs and earnings,Gross earnings,Average gross earnings,persons aged 50+
JE_EMPL_age_old,h_age_old_ineq,Jobs and earnings,Employment,Employment rate ,persons aged 55-64
JE_EMP_age_old,h_age_old_ineq,Jobs and earnings,Unemployment ,Unemployment rate (D),persons aged 55-64
HS_SFRH_age_old,h_age_old_ineq,Health status,Self-reported health,Share of population rating their health status as fair, bad, or very bad (D),45-64
WL_EWLH_age_old,h_age_old_ineq,Work-life balance,Employed persons working 50+ hours a week,Share of employed population usually working 50 hours or more per week (D),persons aged 55-64
WL_LEPC_age_old,h_age_old_ineq,Work-life balance,Time devoted to leisure and personal care,Average hours per day,persons aged 65+
ES_EDUA_age_old,h_age_old_ineq,Education and skills,Educational attainment,Share of adults aged 25-64 with below upper secondary education (D),persons aged 55-64
ES_ADCO_age_old,h_age_old_ineq,Education and skills,Adult skills, average across fields,Average score across all fields,persons aged 45-64
SC_SNTWS_age_old,h_age_old_ineq,Social connections,Quality of support network,Share of population who report not having relatives or friends to count on (D),persons aged 50+
SC_TSOC_age_old,h_age_old_ineq,Social connections,Time devoted to social activities,Average hours per day,persons aged 65+
CG_SAYG_age_old,h_age_old_ineq,Civic engagement and governance,Political efficacy,Share of people who consider that they have no influence on what government does (D),persons aged 45-64
CG_VOTO_age_old,h_age_old_ineq,Civic engagement and governance,Voter turnout,Share of people who participates in national elections,persons aged 50+
EQ_SATW_age_old,h_age_old_ineq,Environmental quality,Water quality,Share of people who are not satisfied with the quality of the water in their local area (D),persons aged 50+
PS_SFRV_age_old,h_age_old_ineq,Personal security,Feelings of security,Share of people who do not feel safe when walking alone at night (D),persons aged 50+
SW_LIFS_age_old,h_age_old_ineq,Life Satisfaction,Life Satisfaction,Mean average values on a 0-10 scale,persons aged 50+
IW_HNFW_edu_primary,h_edu_primary_ineq,Income and wealth,Household net worth,Average net wealth,
JE_PE_edu_primary,h_edu_primary_ineq,Jobs and earnings,Gross earnings,Average gross earnings,
JE_EMPL_edu_primary,h_edu_primary_ineq,Jobs and earnings,Employment,Employment rate,
JE_EMP_edu_primary,h_edu_primary_ineq,Jobs and earnings,Unemployment,Unemployment rate (D),
HS_LEB_primary_1,h_edu_primary_ineq,Health status,Life expectancy,Difference in life expectancy (years) at 25 between women with tertiary and primary education,
HS_LEB_edu_primary_2,h_edu_primary_ineq,Health status,Life expectancy,Difference in life expectancy (years) at 25 between men with tertiary and primary education,
HS_SFRH_edu_primary,h_edu_primary_ineq,Health status,Self-reported health,Share of population rating their health status as fair, bad, or very bad (D),
WL_EWLH_edu_primary,h_edu_primary_ineq,Work-life balance,Employed persons working 50+ hours a week,Share of employed population usually working 50 hours or more per week (D),
ES_STCS_edu_primary,h_edu_primary_ineq,Education and skills,Student  skills, average across all fields,Average score across all fields,
ES_ADCO_edu_primary,h_edu_primary_ineq,Education and skills,Adult skills, average across fields,Average score across all fields,
SC_SNTWS_edu_primary,h_edu_primary_ineq,Social connections,Quality of support network,Share of population who report not having relatives or friends to count on (D),
CG_SAYG_edu_primary,h_edu_primary_ineq,Civic engagement and governance,Political efficacy,Share of people who consider that they have no influence on what government does (D),
CG_VOTO_edu_primary,h_edu_primary_ineq,Civic engagement and governance,Voter turnout,Share of people who participate in national elections,
EQ_SATW_edu_primary,h_edu_primary_ineq,Environmental quality,Water quality,Share of people who are not satisfied with the quality of the water in their local area (D),
PS_SFRV_edu_primary,h_edu_primary_ineq,Personal security,Feelings of security,Share of people who do not feel safe when walking alone at night (D),
SW_LIFS_edu_primary,h_edu_primary_ineq,Life Satisfaction,Life Satisfaction,Mean average values on a 0-10 scale,
IW_HNFW_edu_secondary,h_edu_secondary_ineq,Income and wealth,Household net worth,Average net wealth,
JE_PE_edu_secondary,h_edu_secondary_ineq,Jobs and earnings,Gross earnings,Average gross earnings,
JE_EMPL_edu_secondary,h_edu_secondary_ineq,Jobs and earnings,Employment,Employment rate,
JE_EMP_edu_secondary,h_edu_secondary_ineq,Jobs and earnings,Unemployment,Unemployment rate (D),
HS_SFRH_edu_secondary,h_edu_secondary_ineq,Health status,Self-reported health,Share of population rating their health status as fair, bad, or very bad (D),
WL_EWLH_edu_secondary,h_edu_secondary_ineq,Work-life balance,Employed persons working 50+ hours a week,Share of employed population usually working 50 hours or more per week (D),
ES_STCS_edu_secondary,h_edu_secondary_ineq,Education and skills,Student  skills, average across all fields,Average score across all fields,
ES_ADCO_edu_secondary,h_edu_secondary_ineq,Education and skills,Adult skills, average across fields,Average score across all fields,
SC_SNTWS_edu_secondary,h_edu_secondary_ineq,Social connections,Quality of support network,Share of population who report not having relatives or friends to count on (D),
CG_SAYG_edu_secondary,h_edu_secondary_ineq,Civic engagement and governance,Political efficacy,Share of people who consider that they have no influence on what government does (D),
CG_VOTO_edu_secondary,h_edu_secondary_ineq,Civic engagement and governance,Voter turnout,Share of people who participate in national elections,
EQ_SATW_edu_secondary,h_edu_secondary_ineq,Environmental quality,Water quality,Share of people who are not satisfied with the quality of the water in their local area (D),
PS_SFRV_edu_secondary,h_edu_secondary_ineq,Personal security,Feelings of security,Share of people who do not feel safe when walking alone at night (D),
SW_LIFS_edu_secondary,h_edu_secondary_ineq,Life Satisfaction,Life Satisfaction,Mean average values on a 0-10 scale,
